start,end,speaker,text,predicted
0.03096875,6.24096875,b'SPEAKER_01',音量調整したけど、視聴者さん側にも念のため聞いてもらおうかしましょう了解,アンジュ・カトリーナ
8.215343750000002,8.704718750000001,b'SPEAKER_01',だれ?,戌亥とこ
9.97034375,10.476593750000005,b'SPEAKER_01',あ、だ…,アンジュ・カトリーナ
10.62846875,11.84346875,b'SPEAKER_01',お待たせ!まった!,戌亥とこ
12.04596875,15.15096875,b'SPEAKER_01',2次参事所属公式美少女連輪試合場の,アンジュ・カトリーナ
15.387218750000002,20.66909375,b'SPEAKER_01',アンジュ!カトリーナだ!よろしくお願いしまーすこんな感じなんだっけ、コラボの時,アンジュ・カトリーナ
25.10721875,29.15721875,b'SPEAKER_01',裏では元気ないみたいなそんなことない,アンジュ・カトリーナ
25.664093750000003,25.96784375,b'SPEAKER_02',裏返し,戌亥とこ
25.96784375,26.05221875,b'SPEAKER_00',ご視聴ありがとうございました!,戌亥とこ
31.36784375,33.47721875,b'SPEAKER_01',ちょっとお腹痛めてたなって思って,アンジュ・カトリーナ
31.50284375,31.75596875,b'SPEAKER_00',,
34.439093750000005,34.69221875,b'SPEAKER_01',ご視聴ありがとうございました,リゼ・ヘルエスタ
34.74284375,34.759718750000005,b'SPEAKER_01',,
35.36721875,35.805968750000005,b'SPEAKER_01',,
36.025343750000005,37.18971875,b'SPEAKER_01',鳥臓水食べてる,戌亥とこ
38.11784375,39.29909375,b'SPEAKER_01',無事ならいいんだ,アンジュ・カトリーナ
40.39596875,40.85159375,b'SPEAKER_01',どうぞ,戌亥とこ
44.36159375,48.96846875,b'SPEAKER_01',毎度ヘルスタの北大二公女リゼ・ヘルスタです よろしくお願いします,アンジュ・カトリーナ
45.49221875,46.774718750000005,b'SPEAKER_02',ヘルスターは食材に,アンジュ・カトリーナ
46.774718750000005,46.85909375,b'SPEAKER_00',ご視聴ありがとうございました!,戌亥とこ
50.94284375,51.48284375,b'SPEAKER_01',,
51.80346875,52.34346875,b'SPEAKER_01',こっちを?,戌亥とこ
54.38534375,55.195343750000006,b'SPEAKER_01',誰か映ってんなw,戌亥とこ
56.376593750000005,57.203468750000006,b'SPEAKER_01',誰か格が,戌亥とこ
57.65909375,59.66721875,b'SPEAKER_01',ドアが映してしまった,アンジュ・カトリーナ
60.71346875,61.50659375,b'SPEAKER_01',えっと,戌亥とこ
64.83096875000001,64.99971875,b'SPEAKER_01',ご視聴ありがとうございました!,戌亥とこ
66.28221875,66.83909375,b'SPEAKER_01',なかい,戌亥とこ
67.83471875000001,78.58409375000001,b'SPEAKER_01',リゼの挨拶がバッと出ないって話してるよあの、挨拶ないそう、だからこう立派な情勢になるためだって工場は自分のやつ言って貼ったから,戌亥とこ
73.08284375000001,73.69034375000001,b'SPEAKER_00',,
76.40721875,77.41971875,b'SPEAKER_00',向上は自分の,戌亥とこ
79.71471875,86.02596875,b'SPEAKER_01',毎度だけ持ってて 工場は自分の言って貼ったからそうなってくるんだし毎度消すだけになって,アンジュ・カトリーナ
83.61284375000001,84.32159375,b'SPEAKER_00',,
84.52409375,84.91221875000001,b'SPEAKER_00',マイド!,戌亥とこ
87.22409375000001,88.96221875,b'SPEAKER_01',そこで住まれただけ,アンジュ・カトリーナ
89.19846875,94.21034375,b'SPEAKER_01',公式つよつよケルベロスからだけやってもらえたらちょうど合わせた時に,アンジュ・カトリーナ
89.29971875000001,90.16034375,b'SPEAKER_00',,
93.45096875,94.04159375,b'SPEAKER_00',,
94.75034375,96.03284375,b'SPEAKER_01',かすく…,戌亥とこ
95.07096875,95.69534375,b'SPEAKER_00',ロunkES,戌亥とこ
96.03284375,96.55596875,b'SPEAKER_00',キャラクター!,アンジュ・カトリーナ
96.55596875,97.02846875,b'SPEAKER_01',,
97.51784375,97.90596875,b'SPEAKER_01',,
99.52596875,99.54284375,b'SPEAKER_00',ご視聴ありがとうございました,リゼ・ヘルエスタ
99.54284375,100.31909375,b'SPEAKER_01', Ni,アンジュ・カトリーナ
103.17096875,104.04846875,b'SPEAKER_01',なんか,アンジュ・カトリーナ
104.25096875,107.18721875,b'SPEAKER_01',実物より可愛かったんだけどマイドないとそうなの?,アンジュ・カトリーナ
